C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
-0.517179,0.311176,0.781160,0.106404,-1.408955,-0.522710,0.585521,0.510808,0.611845,0.133784,-1.254054,0.922188,1.360203,0.255010,-0.567696,0.600103,1
0.076341,0.506807,-0.754326,0.649313,-1.117381,-0.595236,0.837362,0.096032,-1.101234,1.428153,2.152729,0.985387,0.152845,0.133599,2.255969,-0.652235,0
-0.732775,0.271305,-1.045406,0.336164,-0.626422,1.969530,0.451049,-0.644234,2.049696,-0.663747,0.061813,-0.665031,0.997040,-0.199108,0.995469,0.125020,1
-1.139696,0.306416,-1.050301,0.464961,-0.496531,0.766231,0.488589,0.557651,0.753816,2.219295,0.469285,1.189666,1.431741,-0.130356,0.924200,1.419938,0
1.602806,0.913014,-0.032098,1.420380,-1.393036,0.201576,1.447291,-1.044173,-1.881316,-0.628798,-0.827234,-0.402905,0.115404,0.791671,-3.345315,0.485596,0
-0.264262,0.192207,2.128260,0.722661,0.754569,-1.738059,0.201207,0.179425,0.946443,0.021710,-0.427738,-0.983975,-0.114068,0.723728,2.279092,1.366957,1
1.239630,-0.636011,0.504608,-0.939982,1.092737,-2.149039,-1.020272,0.867872,-2.170947,-0.647025,-0.041979,0.205943,1.648946,-0.242835,-0.143543,1.506170,1
-0.749796,1.106363,-0.944807,1.720789,-1.688994,0.918179,1.753879,1.011601,-0.361802,0.148055,1.825570,0.733890,0.038957,0.699825,-0.548223,1.124201,0
1.280805,0.267458,-0.084504,0.321355,-0.642378,-0.467777,0.447106,-0.425220,-1.891569,-0.791773,-0.210086,-1.076877,0.292937,0.255619,0.047570,-0.422231,0
0.810201,-0.746162,-0.366684,-1.592150,0.071591,-1.620567,-1.077446,1.223027,0.476850,-0.176828,0.263870,0.323191,0.755768,-1.144055,1.123569,1.706942,1
0.200702,0.867718,0.140707,1.308763,-1.425702,1.591740,1.385539,-0.000266,1.569166,-1.072257,-0.771333,1.002786,0.816578,0.498902,0.430825,0.661460,0
-2.553479,-0.156962,-0.893028,-0.154173,0.462122,-1.070047,-0.270798,1.646466,0.878268,-0.517359,0.695135,0.233906,0.356062,-0.213381,-2.101529,-0.614704,0
-0.041319,-0.256896,-1.048458,-0.411946,0.361559,0.693781,-0.404224,1.673329,0.332147,1.524954,-2.564995,-1.562427,-0.301716,-1.174201,0.056919,-1.496856,0
-1.287183,0.355924,1.037628,1.529512,1.870461,-0.054499,0.325865,-1.511537,0.310118,-0.009377,-0.606627,-0.026641,-1.517574,-0.127678,0.842243,-0.512295,1
0.701164,-0.119648,0.880953,-1.255716,-2.462913,0.020432,0.071580,0.500370,-0.879235,2.049017,0.423017,-1.108577,0.384802,-0.887741,0.715777,-1.217200,0
-0.742286,0.195366,-0.662045,0.393073,-0.077601,0.387237,0.287918,-0.494363,0.917646,-0.777964,-1.151230,-0.274878,-0.149805,-0.956230,-1.015192,-0.989406,0
-0.733328,0.337781,0.705334,1.635090,2.229092,-3.098455,0.264423,-0.692646,-0.837210,-0.090442,0.162996,-1.211562,-0.923536,-0.571093,-1.423517,0.668688,1
0.555510,0.404393,-0.430349,1.256089,0.933736,0.339143,0.487897,0.213224,0.470862,2.181561,1.544711,-2.285935,-0.552475,-1.644202,0.497406,-1.699388,1
-0.421795,1.096075,-1.084248,1.432902,-2.345762,0.832853,1.803977,1.048686,1.124626,-1.644880,-0.719177,0.190503,-1.378161,1.086841,-0.598845,-0.938402,0
-0.284101,-0.233955,-0.076725,-0.430974,0.191218,1.675466,-0.354493,-1.104442,0.408867,-2.133473,-1.636247,-0.650245,-0.401314,1.517744,0.382825,-1.014151,0
2.410143,0.208513,1.496891,-0.040470,-1.220563,-0.924255,0.419647,-0.498769,0.204592,-0.312546,0.686720,-0.746517,1.238628,0.257599,0.159333,-1.489240,1
-0.975750,0.001778,-0.514290,-0.441345,-1.101167,1.278332,0.111293,-0.050516,-1.050829,0.644963,0.917805,-0.216789,0.288995,-1.513293,-0.457166,0.020411,0
-0.468261,0.391848,-0.625595,1.768006,2.267307,0.237445,0.338209,-1.021711,-0.368943,-0.618561,-0.600649,-1.109665,0.832909,-1.231682,0.802397,0.799846,1
0.146406,-0.173138,0.090538,-1.135023,-1.876961,1.141821,-0.063015,0.463274,0.347974,0.007885,0.285476,0.381897,-0.321692,1.623245,1.496200,-0.206410,0
-0.817312,0.176655,0.082051,-0.038022,-1.043312,-0.103526,0.356441,-0.092095,-0.339415,-1.052947,0.410430,1.926705,-1.648293,-0.766704,-0.539854,-1.265505,1
-0.755276,0.213619,-0.865218,0.955507,1.215424,-1.449817,0.186413,0.704934,-1.837223,-0.527481,0.089556,0.161914,-2.040889,0.056015,0.558960,1.882483,1
0.448246,0.283518,-0.219013,0.982064,0.905501,0.489331,0.317289,1.144895,-1.183043,-1.038168,2.321401,-0.967939,-1.539673,0.151852,-0.368374,1.221727,1
0.328849,0.295770,-0.425283,1.339750,1.724353,0.274803,0.254002,-0.243690,-0.595462,-2.024146,0.106198,0.392690,0.133969,0.165662,-0.821832,-0.070208,1
1.304595,0.444113,-1.256261,0.782547,-0.450951,0.893240,0.681616,0.793638,0.196966,-2.042757,-1.308176,0.005370,0.303259,1.443473,0.618500,-0.413222,0
1.717030,0.340787,-0.347640,0.814450,0.183189,1.392060,0.470771,-1.363465,-0.831720,0.250188,1.411477,-0.675875,-0.993783,-1.375763,0.303032,-1.547788,1
0.524214,0.363845,0.856960,1.821039,2.548953,-1.240089,0.270226,0.783328,-0.694935,-0.309627,-2.312319,-0.007798,0.627779,1.829157,0.515968,-0.341045,1
0.340334,-0.121698,0.223359,-1.275919,-2.501866,0.624008,0.072486,-2.174093,-0.350084,0.285275,0.151698,0.440665,-0.196716,-0.470043,0.069715,0.112597,0
1.320115,0.727774,1.020249,1.046328,-1.322802,-0.199593,1.174627,0.570775,-0.552753,0.672501,-0.132719,-0.461967,-0.357673,0.020785,0.611150,0.411695,0
-1.319069,0.427243,0.697645,1.245795,0.785487,1.571432,0.535315,-0.628882,-0.009684,0.135410,-0.201476,-0.130114,-0.001156,-1.037951,-0.794590,1.030877,1
-0.650308,-0.166419,-0.645068,-1.787718,-3.527425,2.977161,0.109609,-0.511263,-1.327133,-2.174083,0.706375,1.910194,-2.387102,-0.458307,0.597043,-0.722433,0
1.424226,0.265321,-0.366897,0.534841,-0.102868,0.070087,0.390764,1.032709,-1.287205,1.444374,0.387999,-0.370540,1.299778,-0.817288,-1.220692,0.167675,1
0.017201,-0.546979,-0.293652,-0.722771,1.151563,-0.278323,-0.898365,0.376490,0.104530,0.923566,-0.144587,1.015503,0.329333,-0.645091,-0.832709,1.313737,1
0.257052,-0.414330,0.576852,-1.159757,-0.642073,-1.080735,-0.530954,-1.058639,-0.703079,1.011086,-1.759548,0.688646,-0.559133,1.737210,-1.054962,0.703996,0
0.336112,0.349818,-1.615392,1.202416,1.094243,-0.691434,0.393759,0.384063,-1.283844,-2.327742,0.751331,-1.022075,0.057755,-0.509752,-1.052674,-0.436805,1
2.022918,-0.432738,0.440809,-0.777639,0.401964,1.635405,-0.660460,0.822489,-0.913079,-1.086383,0.665629,-1.399098,1.581138,0.994390,0.074572,-0.183004,0
-1.510288,0.636661,-0.821454,0.891512,-1.216118,-0.095581,1.033390,-0.475286,1.907275,-1.211081,2.040892,-0.057213,-1.678273,0.108362,-1.578154,-0.715717,0
1.062955,0.953203,-0.626751,1.218703,-2.107818,-1.360957,1.575528,0.533479,-0.163510,-0.674381,0.003923,-0.695126,-0.739631,0.665961,-1.844596,2.201951,0
-0.470757,-0.249523,0.978688,-0.675101,-0.328941,0.765671,-0.325459,-0.342767,-0.118699,-1.466124,0.218293,0.759277,0.579704,-0.322866,0.297173,-0.391467,0
0.028890,0.042459,-2.282154,-1.356997,-3.584519,-0.253635,0.414886,-1.237670,1.009530,0.588137,0.521713,0.287782,-1.133778,-0.390907,0.226327,-2.534000,0
1.702890,-0.653433,-0.324731,-0.768993,1.609276,2.461906,-1.096274,1.126815,-0.616863,-0.605062,-0.620722,-0.154391,0.237245,-0.057863,0.184239,-0.552384,1
0.799366,-0.681349,1.523063,-1.312497,0.414998,-1.205119,-1.018382,0.100238,-0.383559,1.601884,0.525653,0.087386,0.376196,0.371344,-0.273096,1.089710,1
0.978467,0.637863,1.064905,0.838677,-1.353257,-0.199739,1.048657,-0.340000,1.368187,1.259907,1.090602,-0.490143,-0.744917,-0.339955,0.266337,-1.519055,0
0.030552,0.358812,-1.036732,1.369291,1.458657,-0.005442,0.370674,-1.210600,-0.860862,-0.258256,-0.980356,-1.696524,-0.347097,-0.542958,-0.208460,-0.918578,1
2.684495,-0.336044,-0.611179,-0.729006,0.002661,-0.376634,-0.482321,-2.015781,0.332969,-1.226223,0.168473,0.136800,-0.294670,-0.343393,-0.387867,-0.096300,0
-0.247726,0.229157,1.774172,0.512927,0.037263,-0.005238,0.325048,0.231606,-0.213362,-0.521324,-0.744487,-0.194580,-0.463173,-0.174788,-0.113578,0.683548,1
-0.475144,-0.230092,0.645402,-0.700963,-0.497321,0.001747,-0.280958,-1.880446,-0.568574,-0.155521,-0.168437,0.718399,0.299431,0.914625,-1.280902,-0.046136,0
-0.523871,-0.711774,0.069682,-1.037676,1.258223,0.633378,-1.145297,-0.602718,-0.149777,0.437290,0.347513,-0.612268,-0.617519,1.190738,0.472071,-0.190367,1
0.985159,0.156092,-0.815293,1.183437,2.088306,-1.575965,0.017691,1.743536,-0.641741,-1.364952,0.686440,-0.765477,1.319753,-0.115710,0.312225,-0.191157,1
-1.154483,0.328157,0.706356,1.491728,1.926215,0.184187,0.280528,-1.046009,-1.268087,0.519514,0.401166,-0.206173,-0.581898,1.098881,0.924211,0.435492,1
0.358984,-0.596440,-0.971331,-1.006643,0.715222,0.056664,-0.926228,1.150363,0.087992,-0.095244,1.655792,-0.766314,-0.119146,1.801687,0.695225,-0.412161,1
-0.365427,0.861204,0.392637,1.244822,-1.548852,0.982455,1.388356,0.582558,-0.084806,0.726704,-0.170918,0.522458,-0.236509,0.352834,-1.140675,2.030574,0
0.199387,0.259883,-0.384807,1.256188,1.710516,0.311875,0.203888,-0.519657,0.511963,-0.225653,-0.361642,-0.963490,-0.267666,1.715940,-0.677704,-0.349006,1
0.359963,-0.431268,-1.481497,-0.738754,0.490243,-0.499163,-0.667070,0.664327,2.213328,-0.368282,0.833100,1.506256,0.094436,0.730663,-1.511288,0.552692,0
-0.080659,0.348921,0.791359,1.972735,3.004351,0.647950,0.203845,-0.507645,-1.866764,1.018156,1.074301,-1.576861,-1.293218,-0.360390,-0.888465,-0.082347,1
1.095036,-0.580912,1.063332,-0.922232,0.840561,0.300060,-0.916330,-0.806043,0.359587,-0.927628,0.747018,-0.610919,-0.668344,0.996247,1.113634,0.706396,1
0.384557,-0.361854,0.593962,0.141371,2.294123,0.760513,-0.745632,1.417509,-1.681093,-1.165246,-1.091139,-0.800901,0.347079,-1.432426,-0.088710,-0.654721,1
0.822826,-0.621522,-1.476883,-0.801759,1.356757,0.503677,-1.025560,0.534873,-0.078180,0.625503,-0.431375,0.148931,0.722136,-0.667322,0.612082,-2.077054,1
-0.913535,-0.304629,-1.105730,-0.772351,-0.273359,0.002729,-0.409998,-0.642930,-0.473640,-0.058316,1.949102,1.712651,-0.637005,0.451695,0.206290,0.043379,0
-0.907730,0.117415,-1.837077,0.313007,0.143244,-0.786575,0.154287,0.382442,0.313595,0.083713,0.585770,-2.359895,-1.285641,-0.804960,-0.583130,-0.076467,1
-0.685891,0.303040,0.259911,1.100712,1.094058,0.234597,0.326673,-0.086659,0.866794,-0.503199,-0.992129,-0.156180,0.791691,1.231319,-1.989529,1.106964,1
1.137943,-0.101773,-1.091861,-1.189229,-2.394522,1.306404,0.090469,0.584272,-1.827768,-0.964966,0.145634,1.268026,-1.444771,-0.756532,-0.054847,1.160018,0
1.564768,0.301329,-0.181513,0.952213,0.735957,0.545385,0.359582,-0.437974,-2.237055,1.210967,-1.543558,0.911627,0.679114,2.848243,0.306674,0.478077,1
-0.936626,-0.613120,1.031931,-0.906401,1.052789,-1.083276,-0.983490,-0.010194,-0.306611,0.230139,0.099887,2.098762,0.916106,-0.961705,0.451316,1.824372,1
-0.591526,0.152639,-1.030023,0.848462,1.278344,0.228823,0.092724,-0.545058,0.844192,-0.646681,1.441848,2.489817,-0.846342,-0.559356,-0.492972,0.095468,1
0.422961,-0.274486,-1.650494,-1.098820,-1.242814,0.342615,-0.271023,0.331658,0.521002,0.190517,-0.253455,-0.882441,0.379479,1.008532,-0.159448,-0.414973,0
-0.130415,0.265359,-0.181789,0.725971,0.369663,-1.108455,0.344156,1.155134,-0.292813,0.083089,0.182620,-0.757145,-1.276062,-0.087396,1.072124,2.344644,1
0.287443,0.520625,0.745122,0.865965,-0.655771,1.159028,0.811599,-1.078918,1.135273,0.948142,0.362194,0.091573,1.408779,0.588257,-0.464125,0.319406,0
-0.853774,0.833740,1.358376,1.044906,-1.895734,0.622546,1.383213,0.283087,1.660426,1.630108,0.535967,3.621965,-0.124832,-0.122061,-0.173028,-0.991164,0
1.651873,0.058497,0.165897,0.595760,1.159199,1.345293,-0.030559,-0.201661,0.810189,-0.566246,-1.343843,-0.784431,0.283547,-0.652689,-0.980512,-0.244465,1
-1.110759,0.420726,-1.865606,1.756173,2.082860,0.135248,0.397849,0.454502,-0.690502,-0.076416,1.655745,-0.606433,0.929827,-0.045544,-1.698142,-0.964940,1
-0.640029,1.072687,2.087265,1.359209,-2.402351,1.259515,1.776014,-0.282267,-1.599906,-1.868271,0.881478,-0.189747,-0.902543,0.259207,0.530655,-0.780963,0
1.388399,-0.472652,-0.062328,-0.397253,1.557287,-0.861356,-0.831808,1.067530,1.015768,-0.053963,-1.691606,1.242517,-0.367921,-0.407192,1.540840,1.276911,1
-1.341985,0.431636,0.372319,1.685738,1.850021,1.827095,0.436493,0.517442,-0.998987,0.359762,0.303483,-1.205471,0.500402,-1.865103,0.800455,0.479681,1
1.747872,-0.798285,0.399194,-1.401705,0.822722,1.981664,-1.226392,-2.498612,0.295581,-0.313281,0.416669,0.306408,-1.307808,1.388040,-0.556554,1.215171,1
-0.826294,-0.174249,1.180416,-0.107874,0.669532,0.814994,-0.316079,-0.309820,0.593529,-0.347346,0.190316,-1.031017,-0.404983,-3.120508,-0.268518,-0.761211,0
-0.296383,-0.172730,0.032546,-0.428384,-0.131372,1.093305,-0.234810,-0.166157,0.538161,-1.232438,0.313624,0.722865,0.116834,-0.015847,0.353094,-0.103884,0
0.300730,-0.675547,-0.923219,-1.034231,1.072078,-0.883807,-1.074948,-1.119407,1.736573,1.803999,0.178141,1.621741,1.390394,0.075598,-0.339595,-0.408324,1
2.512878,-0.605695,0.237230,-0.654991,1.634721,0.675754,-1.030306,-0.741273,-0.142845,-0.296243,0.037918,0.361813,0.590760,1.048242,0.720878,-0.615374,1
-0.903482,0.178477,1.685194,0.787533,0.988799,0.826667,0.158381,0.380540,1.298514,1.715396,0.684626,1.258209,0.432831,1.129230,0.482919,0.326697,1
1.104524,-0.789854,0.546898,-1.587930,0.316813,-0.454419,-1.164339,0.250358,0.233327,0.161625,-0.307896,-0.918258,-1.992413,0.382937,-0.095970,0.235649,1
-2.027765,-0.525407,-1.457909,-1.092366,0.121494,-1.636125,-0.765698,-1.469400,1.189391,1.349056,1.007680,0.001617,-0.065304,-0.186589,-2.051779,-0.504102,0
-1.447437,-0.299619,-0.382994,-0.845045,-0.480079,1.987586,-0.382398,-2.006807,-1.733378,2.032733,0.348964,-0.863075,0.396472,-0.626770,-2.117494,0.267726,0
-0.681077,0.394287,-0.870308,1.256793,0.989782,1.139614,0.467865,-1.725038,-1.415732,0.065354,-1.460004,0.025488,0.257144,0.570006,0.275006,1.428349,1
1.856709,-0.615890,0.150916,-1.170736,0.413874,0.731321,-0.924370,-1.021409,-0.140314,0.611974,0.308277,-0.360834,-0.367949,-0.543133,-0.378062,0.882924,1
-0.382704,0.319006,0.196596,2.389287,4.195386,-1.484740,0.043316,0.199266,-1.117721,0.858666,1.564967,-0.573613,-0.284672,-0.874607,0.046341,1.437974,1
-0.740423,-0.679070,0.768955,-1.013124,1.143213,-2.121392,-1.087026,-1.171973,1.015151,1.289091,0.589214,-0.677284,0.154973,-0.015845,-0.177013,0.796404,1
-0.316440,-0.548802,-0.251417,-0.967526,0.555984,-0.957687,-0.842165,-2.342068,0.236004,-0.514971,-0.018403,0.726506,0.585350,-0.491218,-1.175986,1.147512,0
-2.387472,-0.412006,-0.843741,-0.612655,0.698626,0.612136,-0.660016,0.486436,-0.210705,1.243553,0.668166,1.069414,-0.195687,-0.857753,-0.601276,-0.536236,0
-1.251451,-0.597655,1.034215,-0.409581,2.198510,0.240857,-1.074448,-0.987807,-0.136190,-0.659292,1.131695,-1.830104,-0.205755,-1.165302,-0.069068,0.243645,1
-0.709236,-0.196825,-0.089181,-1.453947,-2.538497,0.826870,-0.031666,-0.006157,0.965938,0.127322,0.752476,-0.106533,0.666566,0.521454,-0.734928,-0.117657,0
1.150654,0.683136,0.534026,0.936355,-1.354941,-2.675504,1.113767,0.279497,-0.342471,-0.929469,-0.418153,2.183775,1.115316,-0.345772,-1.000163,-0.585888,0
-1.814050,-0.084545,0.483541,-1.502733,-3.262506,0.512632,0.200897,0.558379,-0.522864,0.457723,0.882782,0.822383,1.023153,1.539515,-0.025809,-0.741431,0
-0.243519,0.123159,-0.496740,0.473169,0.508514,-3.256505,0.126457,-0.449801,-1.331549,-0.774635,0.522786,0.162566,-0.979638,0.250441,-0.671750,-0.762510,0
0.074863,-0.594591,1.253127,-0.750423,1.339013,0.625532,-0.985175,0.579180,-0.533169,-0.574163,1.884930,-0.152008,-1.190300,2.496852,0.980957,-1.266003,1
1.381636,-0.283526,-0.446214,-1.121112,-1.249371,-1.752802,-0.283344,-1.015405,0.163339,2.776282,0.915868,0.106618,0.976347,0.517452,1.060347,-0.847353,0
2.537358,-0.187706,0.711391,-1.130394,-1.787228,-0.785386,-0.092774,0.900489,-0.535383,-2.600522,-1.250843,-1.114591,0.884999,-0.821775,0.551330,0.320343,0
2.102506,0.112653,-1.601582,0.768697,1.295923,-1.257256,0.033627,1.010453,0.625428,1.771381,-0.911367,0.274363,-0.867799,-0.824110,-1.115480,0.190164,1
-0.847175,0.357610,1.386389,1.005232,0.564662,-0.120465,0.457233,-0.262794,-2.406705,-0.719641,-0.476721,-1.514858,-0.186048,-2.097438,1.623080,0.702493,1
-1.002031,-0.323280,-2.789053,-0.789114,-0.214597,-0.464050,-0.442556,0.471564,0.431874,-1.547739,-1.687484,1.531156,-0.804731,-0.778890,-1.404755,0.443234,0
-0.544059,0.383750,0.567439,0.869917,0.089515,0.081369,0.541652,0.177569,0.852186,0.237576,0.489648,2.136609,0.073379,-1.629568,0.765592,-0.604278,1
2.255394,-0.027251,0.488009,0.217603,0.684650,-1.257691,-0.106702,-1.885397,0.411431,0.440673,-1.121406,2.288003,0.564135,0.474030,0.073959,-0.675488,0
